"persid";"apellido1";"apellido2";"nombre";"municipio";"fechanac";"horasextra"
"0005c1fad";"RODRIGUEZ";"BENADERO";"MARIA DE LOS ANGELES";"03014";"1960-05-15";588
"001e03096";"ZARATE";"ABAD";"CRISTINA";"03014";"1960-12-06";226
"004093b34";"CATALA";"ABAD";"RAFAEL";"03014";"1961-10-02";323
"004dbcefe";"GUERRA";"ABAD";"VANESSA";"03014";"1961-10-31";573
"00760cb16";"MORA";"ABAD";"JOSE LUIS";"03014";"1962-06-10";44
"00a1cf634";"MILAN";"ABASCAL";"VICTOR ANDRES";"03014";"1962-08-09";124
"00cd339bf";"RODRIGUEZ";"ABELLAN";"ANDRES";"03014";"1963-02-23";426
"00f49ca0b";"SANCHEZ";"ABELLAN";"SERGIO ANDRES";"03014";"1963-05-10";27
"00fabd387";"VALDES";"ABREU";"MARIA ISABEL";"03014";"1963-08-07";384
"00fbf5328";"URUEÑA";"ACEITUNO";"ROBERTO";"03014";"1964-06-14";237
"0179c5bd7";"SANCHEZ";"ADROVER";"FRANCISCO";"03014";"1965-04-19";964
"01aa30ede";"RONDA";"AGUADO";"CONCEPCION";"03014";"1965-04-27";356
"01ad272da";"SANCHIS";"AGUERO";"ANGELES VICTORIA";"03014";"1966-02-11";814
"01c577872";"SERRANO";"AGULLO";"ALEJANDRO";"03014";"1966-04-30";91
"01ef85fdd";"PEREZ";"AGULLO";"FRANCISCA A.";"03014";"1966-09-20";459
"021a0e9a8";"LOPEZ";"AGULLO";"JOSE LUIS";"03014";"1966-10-09";763
"0224d703a";"ORTEGA";"ALARCON";"MARIA BELEN";"03014";"1967-03-09";802
"022d0ebaa";"MARTINEZ";"ALAVEDRA";"ADORACION";"03014";"1967-06-12";438
"023d7a14d";"ALVAREZ";"ALBADALEJO";"ANTONIO";"03014";"1967-07-04";127
"02479c4a3";"ALMARCHA";"ALBALADEJO";"AITOR SANTIAGO";"03014";"1967-09-19";148
"0279b20b8";"SEPULCRE";"ALBARRAN";"NURIA";"03014";"1968-01-06";830
"0286cdff4";"FERRER";"ALBENTOSA";"NURIA";"03014";"1968-01-09";190
"02a64c965";"MUÑOZ";"ALBENTOSA";"NURIA";"03014";"1968-01-18";514
"02cb77c5c";"QUEREDA";"ALBEROLA";"JOSE";"03014";"1968-10-12";295
"02df5fd9b";"PICO";"ALBEROLA";"EDELMIRA";"03014";"1968-10-23";968
"02ed5971f";"CASARRUBIOS";"ALBEROLA";"JESUS A.";"03014";"1969-04-09";95
"02f882ce4";"LOPEZ";"ALBEROLA";"FRANCISCO ANTONIO";"03014";"1969-05-11";472
"02fc2a94d";"MOJICA";"ALBIÑANA";"FCO. JUAN";"03014";"1969-07-16";128
"031f8f97a";"MARCO";"ALCALDE";"MARIA PILAR";"03014";"1970-02-03";609
"033937a4e";"MARTINEZ";"ALCAÑIZ";"ALIDA ANTONIA";"03014";"1970-03-07";60
"03647e1ef";"RODRIGUEZ-BOBADA";"ALCAÑIZ";"MARIA JOSEFA";"03014";"1971-10-23";341
"037a29186";"LOPEZ";"ALCARAZ";"VICTOR";"03014";"1972-01-16";835
"03ccdea7d";"ALVAREZ";"ALCARAZ";"ROBERTO";"03014";"1972-03-15";383
"03ce7bfb8";"MARTI";"ALDEA";"JORDI";"03014";"1972-07-24";880
"0404b2aa4";"BELDA";"ALDEGUER";"MARIA DEL CARMEN";"03014";"1973-02-09";507
"042ce59a6";"REBELLES";"ALDEGUER";"FLORENCIA DOLORES";"03014";"1973-03-17";340
"0444d5745";"MONTESINOS";"ALEGRIA";"RAFAEL";"03014";"1973-04-30";908
"045342c6e";"JIMENEZ";"ALEMANY";"DAVID";"03014";"1973-06-17";891
"04b458f74";"LOPEZ";"ALEMANY";"YOLANDA DE LOS ANGELES";"03014";"1973-08-02";577
"04e27588b";"CALLEJA";"ALESON";"MARIA SOLEDAD";"03014";"1973-10-10";247
"04ff53775";"ASENSI";"ALESON";"SERGIO ANTONIO";"03014";"1973-11-26";391
"050a84530";"PARDILLOS";"ALGADO";"MIGUEL ANGEL";"03014";"1974-11-10";706
"054ce9c7a";"ARGILES";"ALIAGA";"JOSE ANTONIO";"03014";"1975-04-13";764
"057eceac7";"MARRO";"ALIAGA";"CARME";"03014";"1975-07-11";144
"05bb4e8c3";"CANTOS";"ALMANSA";"JORGE";"03014";"1975-09-10";281
"05d2d09e2";"WAN";"ALMARCHA";"YU";"03014";"1975-09-12";913
"05e42d85c";"SAEZ";"ALMELA";"M. CARMEN";"03014";"1975-12-08";974
"05ebaad28";"GARCIA";"ALMELA";"RAUL";"03014";"1975-12-09";472
"05f3efe70";"BAS";"ALMENDROS";"SANTIAGO";"03014";"1976-02-07";427
"060bdba91";"MERAYO";"ALONSO";"JOSE CARLOS";"03014";"1976-08-02";499
"064454453";"GOMEZ";"ALONSO";"PILAR";"03014";"1976-11-22";767
"064c06d4a";"ZAMORA";"ALONSO";"ANNABEL";"03014";"1976-12-25";394
"064e5e0e2";"ORTELLS";"ALVARADO";"MARIA DEL PILAR";"03014";"1977-04-10";594
"06580d2b1";"ALONSO";"ALVAREZ";"REGINA MARGARITA";"03014";"1977-04-18";239
"06a1d88ee";"GARCIA";"ALVAREZ";"FRANCISCO";"03014";"1977-05-19";522
"06c2597fa";"SANTACRUZ";"ALVAREZ";"CRISTINA";"03014";"1977-07-16";203
"06e04a046";"CONTRERAS";"ALVAREZ";"FRANCISCO JAVIER";"03014";"1978-02-21";299
"077d33b25";"NIETO";"ALVAREZ";"JOSE";"03014";"1978-04-24";864
"07833558f";"NIEVES";"ALVAREZ";"RAQUEL";"03014";"1978-06-23";38
"079d379f8";"BROTONS";"ALVAREZ";"MARIA LUCIA";"03014";"1978-07-22";682
"07b5d4ab9";"MARIN";"ALVAREZ";"SANTIAGO";"03014";"1978-08-05";778
"07c08cf9d";"SOLER";"ALVAREZ";"JAUME";"03014";"1979-04-23";919
"0826f06c6";"AGULLO";"ALVAREZ-OSSORIO";"CARMEN";"03014";"1979-07-26";189
"085f0c1e3";"MARTINEZ";"AMADOR";"ANDRES";"03014";"1980-07-26";117
"0861c5b81";"IGLESIAS";"AMARO";"VIRGILIO";"03014";"1980-09-16";827
"0861e5aa0";"BAÑO";"AMARO";"MARIA DEL MAR";"03014";"1980-11-27";80
"088937ba5";"SORIANO";"AMAT";"JAIME";"03014";"1981-03-30";694
"088b2e18e";"CORREDOR";"AMAT";"DANIEL";"03014";"1981-06-15";698
"08f4d113e";"BENITO";"AMBRONA";"NURIA";"03014";"1981-08-11";327
"08fd84778";"SOLER";"AMOROS";"MARINA";"03014";"1981-08-31";85
"09263a216";"HUERTA";"AMOROS";"PEDRO JOAQUIN";"03014";"1981-10-13";660
"09316669b";"LLORET";"ANDRES";"PILAR";"03014";"1981-10-21";33
"093788fd3";"LOPEZ";"ANDRES";"ANTONIO";"03014";"1981-12-19";239
"0957bf201";"CAPARROS";"ANDREU";"MARIA JOSE";"03014";"1982-01-13";424
"095f1a139";"GARCIA";"ANDREU";"MIGUEL ANGEL";"03014";"1982-08-03";178
"097d72ab5";"PEÑA";"ANDUJAR";"CLAUDIA";"03090";"1982-09-05";520
"0992b443e";"MUÑIZ";"ANGULO";"LUIS";"03090";"1983-09-24";337
"099b0e42e";"ESTEVE";"ANTON";"GABRIEL";"03002";"1984-01-03";151
"099dc9aa2";"JOVER";"ANTON";"JOSE ANTONIO";"03019";"1984-12-24";992
"0a29854f3";"ESTEVA";"ANTON";"ELENA";"03119";"1985-07-17";764
"0a763c6ba";"MORENO";"ANTON";"ESTEFANIA";"03119";"1986-04-10";651
"0ab10c660";"VALERO";"ANTON";"BENITO ELIAS";"03119";"1986-09-01";759
"0ad1320d0";"ANDREU";"ANTON";"REMEDIOS";"03119";"1987-04-28";157
"0aebe65a9";"PASTOR";"ANTON";"MANUEL";"03119";"1987-05-05";245
"0b1566fc0";"CAYETANO";"ANTON";"MARIA MERCEDES";"03119";"1987-10-24";998
"0b3679e04";"GARCIA";"ANTUNEZ";"MARIA FELICIDAD";"03119";"1987-11-24";680
"0b6723b8b";"BALLESTER";"APARICIO";"PALOMA";"03119";"1987-11-29";448
"0b673a95c";"FERRANDIZ";"APARICIO";"JUAN CARLOS";"03119";"1988-03-30";297
"0bc130f5a";"SOLER";"ARACIL";"ALEJANDRO BAUTISTA";"03119";"1988-05-11";543
"0bc63b002";"NARANJO";"ARACIL";"FRANCISCO JAVIER";"03119";"1988-08-18";487
"0c19c025d";"BONIFACIO";"ARACIL";"MARIA DEL MAR";"03119";"1988-10-11";980
"0c222cc64";"LOPEZ";"ARAGON";"FRANCISCO JOSE";"03119";"1989-05-03";320
"0c5fa014a";"TOLOSANA";"ARAQUISTAIN";"ALICIA";"03119";"1989-05-21";405
"0c7e6873f";"CASANOVA";"ARCAS";"GUILLERMO JORGE";"03119";"1989-07-07";168
"0c83d53bd";"CASTAÑO";"ARENAS";"FERNANDO";"03119";"1990-03-29";437
"0c9030759";"DIEZ";"ARESTE";"BIENVENIDA";"03119";"1960-10-01";232
"0cbe411c0";"PAÑOS";"ARIAS";"VICENTE";"03119";"1961-03-03";248
"0cdc3dc4d";"CALDERON";"ARIAS";"JOSE LUIS";"03119";"1961-05-28";131
"0ceb541c2";"SALVADOR";"AROCAS";"JOSE JAVIER";"03119";"1961-11-17";930
"0cf63889c";"SANCHEZ";"ARQUES";"VICENT";"03079";"1961-12-13";576
"0cfa60444";"CASAMAYOR";"ARRABAL";"JOAQUIN";"03009";"1962-03-19";217
"0d0686215";"NAVARRO";"ARRAEZ";"ANA MARIA";"03009";"1962-06-12";590
"0d0c18eff";"MORENO";"ARROYO";"JOAQUIN";"03009";"1963-06-12";610
"0d740751a";"LLACER";"ARROYO";"JOSE RAFAEL";"03009";"1964-03-22";456
"0da6ca75b";"RAMOS";"ARTERO";"ANGELES";"03009";"1964-05-21";14
"0ddafe49b";"HONRUBIA";"ASENJO";"CRISTINA";"03009";"1964-11-06";977
"0df64764a";".";"ASENSI";"FRANCIS MORTON";"03009";"1964-12-18";351
"0e07cade3";"RUIZ";"ASENSI";"SILVIA";"03009";"1965-05-10";940
"0e19b8194";"MARTINEZ";"ASENSI";"JAVIER";"03009";"1965-06-17";969
"0e2665100";"OLIVAS";"ASENSI";"OTILIA";"03009";"1965-11-23";114
"0e41ca4ee";"JIMENEZ";"ASENSI";"ANTONIO";"03009";"1965-12-01";590
"0e5ec0caa";"MARIN";"ASENSI";"JUAN CARLOS";"03009";"1965-12-11";727
"0eb3a5001";".";"ASENSIO";"JEAN-MACKSON";"03009";"1966-07-21";272
"0ec194690";"CUTILLAS";"ATO";"FERNANDO";"03009";"1966-08-18";835
"0f2a1f1bf";"MARTINEZ";"AUSO";"ANGEL";"03009";"1966-12-30";725
"0fa33dbb6";"SANZ";"AVILA";"MARIA JOSE";"03009";"1967-01-14";952
"0fc19c2a4";"MENGOD";"AVILES";"JOSE LUIS";"03009";"1967-10-31";283
"0fc9669a2";"MURCIA";"AYELA";"CLARA EUGENIA";"03009";"1968-01-15";21
"1003658c7";"BONMATI";"AYELA";"JUAN ANDRES";"03009";"1968-02-26";495
"10419cbc3";"LOPEZ";"AZORIN";"IVONNE ELIANA";"03009";"1968-05-09";770
"1069c68a5";"MARTINEZ";"AZORIN";"JUAN MATIAS";"03050";"1968-08-04";1
"106c1a5ba";"GARCIA GALBIS";"AZORIN";"MANUEL FELIPE";"03050";"1969-01-13";815
"107c384a7";"DE DIOS";"BAENA";"NOELIA";"03050";"1969-04-17";175
"107e6c059";"BRIZ";"BAEZA";"XIMO";"03050";"1969-11-13";169
"1085fa9fd";"SOTO";"BAEZA";"MARIA ESPERANZA";"03050";"1970-04-16";252
"109a1fa6a";"PRADOS";"BALAGUER";"ANTONIO";"03050";"1970-06-14";407
"10ad4685e";"ORIENTE";"BALBOA";"ALMUDENA";"03050";"1970-08-30";417
"10da5919d";"ALEMAÑ";"BALDAQUI";"ROBERTO";"03050";"1970-12-17";384
"10f2fa9a4";"MARTINEZ";"BALDAQUI";"INMACULADA";"03050";"1971-02-15";337
"112f8522d";"AYELA";"BALDAQUI";"ISABEL";"03050";"1971-03-22";993
"1145e05c0";"LOPEZ";"BALLESTER";"RITA MARIA";"03046";"1971-09-20";601
"1147d62e5";"MARTIN";"BALLESTER";"DELFINA";"03050";"1971-12-26";927
"11546ed53";"SAEZ";"BALSERA";"RAQUEL";"03050";"1972-02-20";603
"1176385be";"BOSCH";"BANDRES";"MARIA JOSE";"03050";"1972-05-16";57
"117a7be40";"DE ROJAS";"BAÑO";"PILAR";"03050";"1972-06-23";941
"11823579b";"HERNANDEZ";"BAÑON";"NOELIA";"03050";"1972-11-20";390
"11a0349f2";"GARCIA";"BAÑOS";"ANTONIO";"03050";"1973-01-24";33
"11cc7ca59";"RODRIGUEZ";"BAÑULS";"FRANCISCO";"03050";"1973-07-22";292
"11efbf389";"GUEDES";"BAÑULS";"KILIAN";"03050";"1973-09-12";329
